Breed,Number of lactation,Green fodder (Kg),Dry fodder (Kg),Concentrate (kg),Azolla (kg),Milk yield (Liters),Milk Fat %,SNF %,Lactometer reading,Price (Rs/Liter),Vitamin liquid (ml/day),Mineral Mixture (gm/day),Calcium Supplement (Liquid) ml/day,Number of Calcium supplement Injections
Holstein Friesian Cross,9,29,9,5,1.02,17.25,3.27,8.58,37,41.6,5,30,56,2
Jersey cross,1,30,9,8,0.16,11.66,3.68,8.55,36,42.11,3,37,70,2
Jersey cross,7,41,11,5,1.47,15.63,3.47,8.57,33,42.32,2,31,72,0
Jersey cross,3,27,7,11,0.4,14.71,3.71,8.44,35,39.97,2,43,63,2
Holstein Friesian Cross,4,40,5,13,1.91,18.35,3.41,8.43,35,38.03,5,56,75,1
Jersey cross,7,45,12,13,0.86,17.36,3.62,8.42,37,44.02,5,60,63,2
Holstein Friesian Cross,8,33,9,12,0.51,18.76,3.37,8.47,32,35.75,3,45,55,0
Holstein Friesian Cross,8,38,8,4,0.22,17.38,3.16,8.6,28,39.73,2,43,70,3
Holstein Friesian Cross,3,34,14,7,0.89,16.87,3.36,8.58,28,38.02,6,38,53,1
Jersey cross,3,28,12,6,1.57,13.4,3.71,8.51,32,37.72,2,37,63,3
Holstein Friesian Cross,5,34,7,10,1.44,17.71,3.42,8.5,34,37.51,5,27,59,0
Holstein Friesian Cross,6,26,12,14,0.57,18.25,3.55,8.49,28,39.18,5,31,71,1
Holstein Friesian Cross,1,31,6,13,1.92,16.35,3.5,8.39,30,40.42,4,45,54,3
Holstein Friesian Cross,7,25,9,9,0.91,17.67,3.5,8.47,31,41.37,2,63,61,2
Jersey cross,2,28,6,10,0.25,12.16,3.7,8.54,38,35.94,6,44,72,3
Jersey cross,2,28,11,7,0.12,13.4,3.76,8.44,31,41.22,6,29,75,3
Holstein Friesian Cross,9,39,13,5,0.89,19.65,3.3,8.64,36,37.27,6,51,71,3
Jersey cross,3,28,7,13,1.66,13.88,3.83,8.48,36,39.82,4,33,53,0
Holstein Friesian Cross,7,26,5,13,1.28,18.13,3.4,8.48,37,42.0,4,41,71,0
Holstein Friesian Cross,6,31,13,10,1.84,17.13,3.4,8.49,35,43.12,3,49,62,3
Holstein Friesian Cross,8,45,6,11,0.75,19.77,3.33,8.52,29,40.68,3,55,75,1
Holstein Friesian Cross,1,29,14,9,0.15,15.7,3.35,8.62,31,43.29,3,66,75,3
Holstein Friesian Cross,2,28,8,9,0.59,15.53,3.38,8.48,36,38.7,5,68,59,1
Holstein Friesian Cross,4,27,8,8,1.02,16.68,3.39,8.43,33,43.56,3,43,59,3
Holstein Friesian Cross,1,27,10,10,1.15,15.21,3.42,8.56,32,41.61,3,44,59,2
Holstein Friesian Cross,8,34,5,9,0.25,18.39,3.42,8.4,29,41.18,6,47,68,3
Holstein Friesian Cross,2,39,9,7,1.67,16.39,3.22,8.5,30,37.68,3,59,60,2
Jersey cross,1,33,9,11,1.85,13.58,3.75,8.47,29,39.11,5,29,75,2
Holstein Friesian Cross,8,36,8,4,1.03,17.24,3.16,8.59,28,36.36,4,40,53,1
Holstein Friesian Cross,5,33,5,13,0.23,18.02,3.34,8.4,37,36.91,5,27,64,2
Holstein Friesian Cross,1,43,8,9,1.22,16.14,3.23,8.4,34,43.2,3,70,62,2
Jersey cross,8,25,5,5,0.73,14.44,3.6,8.58,30,43.65,4,63,51,1
Holstein Friesian Cross,5,37,9,9,1.74,17.24,3.29,8.5,28,40.29,2,46,67,2
Jersey cross,2,33,8,12,1.51,14.68,3.74,8.54,34,41.47,2,64,56,3
Holstein Friesian Cross,8,28,14,13,0.03,18.81,3.46,8.55,38,39.42,4,71,61,3
Holstein Friesian Cross,7,35,10,9,0.29,18.87,3.36,8.46,36,42.02,4,34,50,3
Holstein Friesian Cross,4,25,6,6,0.21,15.3,3.29,8.55,31,36.65,3,28,50,0
Holstein Friesian Cross,4,43,12,9,0.3,18.11,3.19,8.6,30,37.59,3,29,70,1
Holstein Friesian Cross,4,37,8,11,1.78,18.16,3.42,8.45,38,44.12,3,25,59,3
Jersey cross,8,44,5,9,0.87,18.19,3.47,8.54,36,44.89,5,62,53,0
Holstein Friesian Cross,6,31,14,7,0.17,17.67,3.34,8.56,38,39.03,4,54,52,1
Holstein Friesian Cross,3,33,13,9,1.48,15.66,3.43,8.44,33,44.45,4,72,64,3
Holstein Friesian Cross,3,41,12,11,0.13,18.26,3.28,8.5,36,41.28,4,54,53,3
Holstein Friesian Cross,6,31,6,13,0.85,18.51,3.5,8.36,32,39.83,5,49,50,0
Holstein Friesian Cross,8,42,6,10,1.31,19.97,3.23,8.38,30,41.25,5,25,58,2
Jersey cross,1,32,13,5,0.48,11.67,3.67,8.67,38,36.33,3,75,71,1
Jersey cross,1,30,13,4,0.73,11.97,3.5,8.52,34,36.76,6,68,59,0
Holstein Friesian Cross,1,34,8,5,1.68,13.37,3.3,8.43,36,40.47,3,36,53,3
Holstein Friesian Cross,6,35,8,14,0.38,18.55,3.35,8.5,28,41.38,3,53,59,1
Jersey cross,1,39,7,5,1.16,12.22,3.55,8.5,29,41.47,3,29,59,2
Jersey cross,7,32,13,9,0.19,15.87,3.63,8.56,29,40.29,5,67,53,1
Jersey cross,7,37,8,5,0.49,16.13,3.61,8.5,38,40.74,3,72,62,0
Jersey cross,3,43,9,14,0.3,15.93,3.56,8.53,30,36.19,5,68,62,0
Holstein Friesian Cross,8,37,11,9,0.68,19.99,3.34,8.44,28,44.84,4,28,63,1
Jersey cross,1,44,9,10,1.84,13.41,3.59,8.4,31,40.89,6,33,66,2
Holstein Friesian Cross,8,43,9,14,0.28,21.11,3.43,8.5,29,44.25,6,41,55,3
Jersey cross,8,37,5,7,1.66,16.2,3.62,8.5,35,43.33,4,49,72,0
Holstein Friesian Cross,9,40,6,6,1.44,19.79,3.22,8.44,28,39.83,2,54,55,3
Jersey cross,6,43,10,4,1.2,15.53,3.41,8.56,31,41.96,3,26,66,2
Jersey cross,8,30,5,6,1.43,15.84,3.58,8.58,28,41.58,2,30,69,3
Holstein Friesian Cross,5,33,14,5,0.06,16.99,3.23,8.63,35,41.3,3,65,54,2
Jersey cross,3,39,9,14,0.62,16.28,3.72,8.36,30,43.49,2,35,51,2
Jersey cross,5,38,8,8,0.31,15.31,3.52,8.43,32,40.72,3,57,74,2
Jersey cross,6,30,13,10,0.6,14.89,3.76,8.52,34,41.51,6,53,50,2
Jersey cross,7,34,11,14,1.51,16.59,3.83,8.53,37,41.17,5,33,68,3
Jersey cross,9,39,11,7,0.62,18.32,3.58,8.48,28,38.13,5,48,50,2
Holstein Friesian Cross,9,44,14,7,1.86,19.25,3.27,8.66,35,35.23,5,49,59,1
Holstein Friesian Cross,4,33,8,13,0.05,17.51,3.37,8.52,29,36.77,3,52,58,2
Jersey cross,8,26,6,12,0.9,16.68,3.81,8.49,34,42.53,4,58,70,1
Jersey cross,4,27,5,7,0.56,12.72,3.58,8.47,31,42.17,5,67,75,3
Jersey cross,8,44,9,12,0.22,18.08,3.67,8.39,38,36.29,4,55,54,0
Holstein Friesian Cross,6,37,10,7,1.02,17.79,3.24,8.48,38,43.56,6,66,66,2
Jersey cross,7,40,6,9,1.25,16.97,3.54,8.45,33,40.29,2,42,55,0
Jersey cross,9,28,6,5,0.95,16.15,3.63,8.45,29,37.17,6,71,67,1
Jersey cross,2,26,10,6,0.11,12.97,3.64,8.47,36,44.99,4,68,59,3
Holstein Friesian Cross,4,40,5,9,1.82,16.3,3.28,8.41,35,43.59,5,53,55,2
Holstein Friesian Cross,1,29,13,13,0.26,16.47,3.43,8.49,34,43.86,5,74,74,1
Jersey cross,1,31,8,4,1.73,11.6,3.51,8.62,35,36.37,4,68,65,0
Holstein Friesian Cross,9,31,10,9,1.92,19.17,3.32,8.52,31,40.37,4,26,68,1
Holstein Friesian Cross,3,44,11,4,1.35,16.23,3.12,8.66,28,43.03,5,51,57,3
Holstein Friesian Cross,2,38,8,9,0.74,16.15,3.36,8.42,29,36.09,5,75,62,3
Holstein Friesian Cross,9,27,7,10,0.97,19.21,3.36,8.4,35,36.78,6,28,68,1
Jersey cross,3,33,10,13,1.06,15.52,3.7,8.46,31,38.12,2,28,72,2
Jersey cross,9,26,11,14,1.41,18.44,3.89,8.4,35,42.88,6,74,59,0
Jersey cross,5,27,14,6,0.61,13.11,3.7,8.51,29,38.27,3,56,66,0
Holstein Friesian Cross,2,34,6,5,0.51,15.45,3.28,8.51,34,40.46,6,72,75,3
Jersey cross,7,42,12,10,0.41,17.45,3.51,8.6,34,40.81,4,44,53,0
Holstein Friesian Cross,8,33,5,9,0.39,18.67,3.31,8.53,30,41.54,4,53,50,0
Holstein Friesian Cross,9,31,11,13,0.53,18.83,3.51,8.49,34,37.41,4,39,74,1
Jersey cross,7,34,8,5,0.9,15.96,3.53,8.54,30,41.73,3,47,71,3
Holstein Friesian Cross,6,26,12,9,0.6,16.48,3.5,8.44,34,40.72,4,42,67,0
Jersey cross,4,30,9,8,0.57,13.64,3.57,8.52,37,39.38,2,66,72,0
Holstein Friesian Cross,7,29,7,14,1.31,18.59,3.51,8.37,33,36.39,3,71,51,2
Holstein Friesian Cross,4,42,9,12,1.47,18.43,3.37,8.42,35,43.8,3,27,63,0
Holstein Friesian Cross,8,36,10,13,1.49,20.46,3.5,8.5,30,37.17,2,45,61,3
Holstein Friesian Cross,1,38,6,8,1.35,15.88,3.29,8.48,31,44.8,2,49,59,3
Jersey cross,7,44,12,13,1.27,17.74,3.52,8.52,34,42.71,4,53,65,2
Holstein Friesian Cross,3,37,10,4,0.92,14.78,3.13,8.48,30,37.81,6,28,59,2
Holstein Friesian Cross,2,38,12,13,0.03,17.05,3.36,8.5,35,41.76,2,56,55,0
Jersey cross,5,44,12,9,1.83,16.66,3.6,8.49,36,40.15,5,53,57,2
Holstein Friesian Cross,8,32,10,14,1.24,19.76,3.46,8.45,31,41.82,5,58,53,2
Jersey cross,3,45,12,13,1.76,15.85,3.59,8.51,33,37.65,6,33,52,1
Holstein Friesian Cross,4,31,6,6,0.64,16.02,3.36,8.43,32,39.66,4,27,72,0
Jersey cross,6,36,10,4,1.3,15.7,3.56,8.66,31,36.13,4,50,63,3
Jersey cross,7,31,7,7,1.62,16.19,3.65,8.45,33,41.17,4,35,59,2
Holstein Friesian Cross,8,31,9,10,0.16,18.6,3.44,8.52,30,44.54,2,30,62,3
Jersey cross,5,39,9,7,1.05,14.93,3.55,8.48,35,38.58,6,46,56,2
Holstein Friesian Cross,5,28,8,13,1.9,17.33,3.39,8.53,34,38.51,6,33,61,1
Holstein Friesian Cross,5,32,13,7,0.1,16.17,3.32,8.51,35,36.03,4,46,68,2
Holstein Friesian Cross,1,41,8,8,0.41,16.31,3.23,8.44,36,35.37,2,54,66,0
Holstein Friesian Cross,4,33,12,14,0.51,17.82,3.51,8.51,37,41.13,6,59,73,0
Holstein Friesian Cross,3,33,14,8,0.01,16.11,3.32,8.46,38,40.76,4,73,67,1
Holstein Friesian Cross,2,25,10,11,1.72,14.74,3.54,8.52,34,44.48,5,73,68,0
Jersey cross,4,33,12,8,0.02,15.48,3.67,8.45,30,37.34,3,33,59,1
Jersey cross,1,33,7,10,1.58,13.78,3.75,8.4,33,38.19,3,73,72,0
Holstein Friesian Cross,2,34,5,4,1.05,15.21,3.14,8.55,35,40.79,4,40,62,0
Jersey cross,6,41,7,5,0.16,15.63,3.41,8.43,34,38.92,6,61,72,1
Holstein Friesian Cross,4,35,6,13,1.42,17.48,3.51,8.44,35,44.26,3,49,54,2
Jersey cross,6,31,14,11,1.07,16.87,3.74,8.61,29,36.26,6,44,50,0
Holstein Friesian Cross,7,28,9,12,1.14,19.03,3.44,8.51,31,41.48,5,35,69,2
Jersey cross,5,30,11,6,1.1,14.32,3.72,8.52,28,41.24,4,48,51,0
Jersey cross,4,39,6,4,0.11,14.04,3.57,8.54,35,38.73,4,64,70,2
Holstein Friesian Cross,1,28,11,9,1.85,14.14,3.42,8.56,28,37.67,6,71,59,2
Holstein Friesian Cross,6,40,13,4,0.21,16.54,3.19,8.49,29,43.78,4,44,63,0
Jersey cross,1,42,6,10,0.31,14.03,3.55,8.37,37,38.16,6,51,71,1
Holstein Friesian Cross,4,40,9,12,0.27,18.03,3.39,8.38,29,38.1,6,30,70,0
Holstein Friesian Cross,2,39,11,12,1.14,16.97,3.33,8.39,29,39.52,5,61,57,1
Holstein Friesian Cross,6,25,11,6,1.6,16.54,3.33,8.63,34,43.47,5,55,67,3
Holstein Friesian Cross,7,32,5,11,1.1,17.37,3.44,8.38,32,38.18,5,53,58,3
Jersey cross,2,32,7,10,0.35,12.81,3.65,8.52,36,42.45,4,54,56,2
Jersey cross,9,37,14,12,0.61,18.89,3.73,8.52,38,42.68,4,27,61,0
Jersey cross,8,34,8,10,1.49,16.5,3.71,8.47,36,35.51,6,30,61,1
Holstein Friesian Cross,1,35,13,7,0.6,15.09,3.29,8.49,28,40.32,6,41,73,3
Jersey cross,8,27,10,7,0.32,16.16,3.75,8.48,36,44.94,6,52,67,3
Holstein Friesian Cross,9,27,6,7,1.21,17.7,3.39,8.4,33,41.82,3,36,72,1
Jersey cross,9,31,7,5,0.73,16.49,3.53,8.46,30,38.47,5,25,64,3
Jersey cross,1,43,5,10,0.93,14.49,3.48,8.43,38,43.54,2,75,68,0
Jersey cross,8,29,11,13,0.6,16.68,3.85,8.43,37,38.27,4,48,60,3
Jersey cross,5,34,12,6,1.91,14.52,3.6,8.49,38,36.9,6,59,60,2
Holstein Friesian Cross,4,27,7,4,0.91,15.16,3.29,8.51,31,35.98,4,54,55,0
Jersey cross,9,26,8,14,1.38,17.69,3.84,8.38,28,35.11,5,75,53,0
Jersey cross,8,39,14,7,0.7,17.55,3.55,8.66,29,42.71,2,50,51,2
Holstein Friesian Cross,3,28,8,4,1.37,14.64,3.38,8.56,33,36.96,2,69,72,2
Holstein Friesian Cross,4,29,11,13,0.41,17.4,3.48,8.45,36,39.08,5,73,74,1
Jersey cross,5,29,10,12,1.14,15.57,3.77,8.53,35,36.05,2,56,74,0
Holstein Friesian Cross,7,35,11,14,1.99,19.51,3.45,8.4,30,43.26,3,50,64,2
Jersey cross,7,37,14,4,0.76,16.26,3.45,8.63,28,38.01,2,60,72,3
Holstein Friesian Cross,8,38,12,13,1.27,19.39,3.34,8.52,37,36.9,2,44,74,1
Jersey cross,8,36,10,10,0.18,17.71,3.56,8.44,30,42.27,4,33,54,2
Holstein Friesian Cross,8,26,6,4,1.79,16.31,3.29,8.42,38,39.37,4,40,58,2
Jersey cross,2,30,12,4,1.67,12.61,3.65,8.5,37,40.82,6,28,59,0
Holstein Friesian Cross,2,28,14,12,1.29,16.85,3.37,8.56,28,37.82,4,27,50,0
Holstein Friesian Cross,3,32,5,12,1.89,15.89,3.37,8.45,30,43.84,6,33,66,1
Holstein Friesian Cross,9,32,6,13,0.87,18.65,3.43,8.44,35,35.27,2,52,73,1
Holstein Friesian Cross,6,38,14,14,0.69,19.57,3.43,8.59,36,40.82,3,28,68,2
Jersey cross,9,35,9,12,1.34,18.72,3.76,8.45,37,35.81,4,32,54,2
Jersey cross,7,40,10,11,0.65,16.92,3.53,8.46,32,39.49,5,60,57,0
Jersey cross,6,44,6,5,1.46,15.6,3.54,8.47,38,41.14,6,50,62,1
Holstein Friesian Cross,5,26,10,6,0.75,16.13,3.38,8.55,31,36.22,3,75,63,2
Holstein Friesian Cross,9,32,14,10,0.32,19.71,3.37,8.64,29,44.8,4,56,67,2
Holstein Friesian Cross,2,32,12,4,1.5,14.57,3.16,8.53,38,43.47,6,67,75,2
Jersey cross,3,38,10,12,1.57,14.23,3.74,8.47,38,38.14,5,48,63,2
Holstein Friesian Cross,9,35,9,8,0.46,18.35,3.29,8.42,30,37.14,3,48,66,2
Holstein Friesian Cross,2,42,5,13,1.6,16.61,3.26,8.49,30,41.73,5,64,58,0
Holstein Friesian Cross,7,34,5,11,1.84,18.48,3.28,8.43,34,44.48,4,46,54,1
Holstein Friesian Cross,7,33,5,13,0.47,18.75,3.46,8.38,28,42.31,6,58,70,3
Holstein Friesian Cross,8,42,8,7,1.37,19.78,3.17,8.57,31,36.01,3,53,54,3
Jersey cross,4,31,5,14,1.75,15.94,3.78,8.31,32,39.16,4,31,54,1
Holstein Friesian Cross,1,29,7,8,0.73,15.23,3.33,8.51,35,37.16,2,73,64,2
Holstein Friesian Cross,1,44,12,14,0.79,16.81,3.37,8.4,30,39.24,5,44,61,0
Holstein Friesian Cross,1,38,14,12,0.15,15.96,3.44,8.58,33,42.36,2,72,50,0
Jersey cross,9,25,10,13,1.35,17.65,3.88,8.47,32,42.87,3,55,66,3
Holstein Friesian Cross,2,26,13,5,0.65,13.61,3.27,8.63,36,36.13,3,59,51,1
Holstein Friesian Cross,2,25,5,11,1.87,14.13,3.38,8.53,32,40.08,3,54,52,2
Jersey cross,7,30,13,7,0.3,15.32,3.68,8.54,38,43.96,2,51,63,1
Holstein Friesian Cross,1,25,8,13,1.78,15.53,3.53,8.44,30,35.11,3,41,70,0
Holstein Friesian Cross,2,34,10,12,0.25,16.99,3.48,8.47,36,36.49,5,68,54,0
Jersey cross,7,28,9,10,1.82,15.91,3.8,8.47,30,40.26,2,40,61,3
Holstein Friesian Cross,1,43,5,6,0.81,14.97,3.28,8.41,29,39.68,5,70,64,1
Holstein Friesian Cross,7,42,8,14,0.56,19.91,3.45,8.38,32,42.56,4,62,55,1
Holstein Friesian Cross,8,41,5,5,1.48,17.42,3.21,8.56,37,36.2,5,63,72,0
Jersey cross,1,26,6,11,0.61,12.09,3.76,8.52,37,44.31,3,54,51,2
Holstein Friesian Cross,5,29,7,14,1.43,18.48,3.5,8.51,31,43.13,3,27,63,2
Holstein Friesian Cross,8,43,8,8,1.1,20.2,3.2,8.42,29,36.62,2,61,66,0
Jersey cross,7,25,12,5,0.92,14.6,3.67,8.64,37,39.82,4,51,63,3
Jersey cross,7,45,10,5,0.92,16.14,3.39,8.53,36,36.15,6,35,70,3
Holstein Friesian Cross,6,32,11,13,0.27,18.57,3.5,8.56,32,38.68,2,30,68,1
Jersey cross,4,26,12,14,0.1,14.87,3.74,8.41,29,37.71,4,71,56,3
Jersey cross,5,25,9,9,1.41,13.72,3.78,8.59,35,44.76,6,64,65,3
Jersey cross,1,28,7,11,0.17,12.72,3.78,8.38,33,39.24,3,56,54,3
Jersey cross,5,42,14,8,0.73,16.76,3.64,8.52,38,42.38,3,47,68,2
Holstein Friesian Cross,7,34,10,8,0.1,17.93,3.35,8.53,38,41.24,5,52,63,2
Holstein Friesian Cross,1,26,12,8,0.53,15.03,3.48,8.48,29,41.82,4,30,71,2
Holstein Friesian Cross,2,40,8,6,1.95,14.62,3.13,8.58,31,37.68,3,46,69,2
Holstein Friesian Cross,5,33,5,6,0.07,16.59,3.36,8.53,38,37.11,5,41,67,1
Jersey cross,5,31,10,6,0.31,14.83,3.56,8.53,36,43.73,5,32,56,1
Jersey cross,8,44,10,6,0.6,17.5,3.45,8.61,29,44.82,3,43,53,2
Holstein Friesian Cross,4,32,11,5,0.61,16.04,3.32,8.47,37,44.42,3,45,50,3
Jersey cross,6,29,8,14,0.02,15.95,3.76,8.52,35,38.72,2,61,56,2
Holstein Friesian Cross,1,36,7,9,1.55,15.6,3.27,8.54,33,41.21,6,43,57,3
Jersey cross,1,45,9,5,0.4,14.21,3.54,8.49,32,36.51,3,56,54,3
Jersey cross,1,42,11,9,0.06,14.96,3.51,8.48,33,35.99,5,61,54,1
Holstein Friesian Cross,3,38,10,12,0.6,17.53,3.4,8.41,30,41.33,5,71,52,3
Jersey cross,3,42,8,12,1.14,15.39,3.71,8.41,37,37.59,6,63,66,3
Holstein Friesian Cross,2,27,10,12,0.89,16.03,3.4,8.48,34,35.74,3,65,62,3
Holstein Friesian Cross,3,40,9,5,1.05,15.86,3.2,8.44,36,42.37,4,47,57,2
Jersey cross,4,35,10,14,0.85,16.21,3.64,8.5,35,43.07,4,38,72,1
Holstein Friesian Cross,8,29,9,5,0.75,16.47,3.33,8.58,36,40.44,2,61,53,2
Holstein Friesian Cross,6,39,12,14,0.01,19.75,3.36,8.53,36,39.97,3,27,63,3
Holstein Friesian Cross,1,30,7,7,1.08,13.44,3.33,8.42,37,42.38,5,49,74,3
Holstein Friesian Cross,2,45,13,7,1.73,16.95,3.27,8.58,37,38.35,3,65,52,3
Holstein Friesian Cross,3,45,7,13,1.06,18.36,3.38,8.37,36,35.09,2,38,67,2
Holstein Friesian Cross,7,31,5,9,1.78,17.09,3.35,8.47,33,44.79,3,72,67,0
Jersey cross,3,27,8,11,1.03,13.95,3.83,8.55,32,43.39,3,72,54,2
Jersey cross,5,37,9,11,1.38,16.02,3.71,8.46,36,40.96,3,38,59,2
Jersey cross,1,33,12,6,1.47,13.54,3.63,8.49,31,36.63,2,47,71,2
Holstein Friesian Cross,5,40,8,11,0.36,18.64,3.24,8.51,33,43.61,4,52,70,0
Holstein Friesian Cross,2,45,10,13,1.61,18.29,3.4,8.53,32,43.56,5,51,60,0
Holstein Friesian Cross,6,32,12,4,1.52,17.46,3.24,8.55,31,43.16,6,59,50,3
Holstein Friesian Cross,7,40,7,9,1.82,19.08,3.26,8.46,33,38.77,5,41,70,0
Jersey cross,3,32,8,12,0.94,13.54,3.8,8.42,29,38.01,4,72,68,3
Jersey cross,9,43,10,8,0.52,17.29,3.43,8.43,36,35.13,6,43,66,2
Jersey cross,8,36,14,6,1.59,15.59,3.49,8.53,30,44.46,4,44,52,1
Holstein Friesian Cross,5,33,14,11,0.57,18.7,3.39,8.57,33,42.57,6,65,74,3
Holstein Friesian Cross,7,44,8,9,0.03,18.61,3.22,8.58,34,38.85,3,44,60,3
Jersey cross,9,32,6,13,1.12,17.99,3.83,8.53,37,39.54,6,40,67,1
Holstein Friesian Cross,9,41,11,5,1.38,18.89,3.1,8.47,36,43.36,6,31,57,1
Jersey cross,2,30,10,6,1.92,12.26,3.55,8.5,28,38.91,3,65,61,0
Holstein Friesian Cross,3,44,14,13,0.03,18.96,3.31,8.45,35,35.38,4,67,58,2
Jersey cross,9,41,14,8,0.85,18.52,3.56,8.57,35,35.8,4,43,52,1
Jersey cross,9,29,9,6,1.58,16.59,3.67,8.58,32,39.5,4,35,56,2
Jersey cross,4,29,9,11,0.02,14.42,3.76,8.5,28,44.12,6,55,50,2
Holstein Friesian Cross,6,34,7,14,1.22,17.71,3.49,8.47,34,42.3,4,28,73,2
Jersey cross,9,33,14,5,0.67,15.61,3.51,8.62,37,36.86,3,71,51,1
Holstein Friesian Cross,1,44,11,8,1.1,16.75,3.27,8.5,32,38.66,3,67,72,0
Jersey cross,3,26,13,8,1.8,14.07,3.72,8.47,37,41.68,5,49,53,2
Jersey cross,3,32,7,4,0.95,12.45,3.65,8.58,38,35.65,3,67,70,0
Jersey cross,4,31,14,10,0.78,15.62,3.69,8.64,33,44.05,5,51,68,3
Holstein Friesian Cross,7,32,5,12,0.39,19.05,3.42,8.46,33,43.32,4,29,68,3
Jersey cross,1,39,13,7,1.0,13.76,3.52,8.59,30,44.36,5,25,63,2
Holstein Friesian Cross,6,33,14,8,1.43,16.88,3.3,8.51,37,38.5,4,39,50,0
Jersey cross,6,32,11,6,0.92,14.71,3.67,8.63,28,38.77,3,69,73,2
Holstein Friesian Cross,8,36,14,4,1.54,17.68,3.24,8.69,37,43.96,3,31,68,2
Holstein Friesian Cross,2,28,10,5,1.89,14.6,3.35,8.59,34,42.88,5,27,70,2
Jersey cross,6,32,9,14,1.66,16.19,3.76,8.43,30,42.2,3,71,64,3
Holstein Friesian Cross,9,27,6,6,1.65,18.53,3.27,8.55,32,44.06,6,49,51,3
Jersey cross,8,28,14,8,1.63,16.07,3.62,8.59,34,41.87,6,68,54,1
Holstein Friesian Cross,9,44,7,14,1.33,20.76,3.4,8.36,37,38.01,5,26,57,3
Jersey cross,6,37,12,14,1.93,18.05,3.71,8.45,29,38.81,4,70,71,3
Jersey cross,3,25,9,7,0.3,12.88,3.62,8.58,30,35.97,5,48,67,0
Jersey cross,2,32,7,6,1.46,13.43,3.64,8.58,36,39.45,5,53,70,3
Holstein Friesian Cross,3,26,12,5,1.27,14.69,3.31,8.49,33,43.33,3,69,63,1
Jersey cross,2,26,11,9,0.45,13.04,3.77,8.47,32,40.19,2,29,57,2
Jersey cross,9,40,11,12,1.57,17.89,3.73,8.47,37,39.18,2,69,50,3
Holstein Friesian Cross,5,29,10,11,1.56,17.79,3.41,8.46,33,42.92,5,25,62,0
Jersey cross,1,28,7,7,0.38,12.54,3.7,8.47,33,41.29,4,32,64,3
Holstein Friesian Cross,8,30,5,14,0.32,18.89,3.56,8.35,37,39.19,5,55,52,3
Holstein Friesian Cross,3,25,7,4,0.92,14.02,3.26,8.56,37,43.8,6,40,72,3
Holstein Friesian Cross,8,34,7,12,1.7,18.78,3.34,8.47,33,36.92,5,27,59,3
Holstein Friesian Cross,3,28,7,6,0.73,15.79,3.34,8.52,28,35.92,4,51,58,0
Jersey cross,8,36,10,9,0.37,16.93,3.63,8.6,32,36.15,4,65,57,1
Jersey cross,3,32,5,12,1.87,14.26,3.68,8.4,35,37.9,5,70,55,3
Jersey cross,9,37,14,10,0.3,18.07,3.61,8.58,29,36.8,4,54,53,2
Jersey cross,6,25,10,12,0.76,15.13,3.85,8.54,36,36.53,3,49,66,3
Jersey cross,9,32,14,7,0.57,16.53,3.71,8.57,30,44.59,5,54,74,2
Holstein Friesian Cross,9,30,6,4,1.87,18.21,3.22,8.53,29,41.42,4,28,64,1
Holstein Friesian Cross,9,29,12,4,1.6,18.09,3.34,8.49,34,36.21,4,66,53,1
Holstein Friesian Cross,6,40,7,14,0.81,19.83,3.34,8.35,33,37.31,4,59,69,2
Holstein Friesian Cross,8,37,11,4,1.75,18.42,3.23,8.53,29,37.35,2,58,70,2
Jersey cross,8,34,12,11,1.31,18.14,3.76,8.54,30,43.91,2,49,64,2
Jersey cross,4,29,9,13,2.0,14.99,3.67,8.46,28,35.49,3,45,74,1
Jersey cross,6,29,6,5,0.68,14.36,3.63,8.5,28,38.43,5,59,60,2
Jersey cross,2,26,7,13,1.7,13.35,3.79,8.34,37,40.62,6,29,53,1
Jersey cross,6,39,6,13,1.75,16.39,3.75,8.51,31,38.42,5,38,73,3
Holstein Friesian Cross,4,35,14,4,0.4,15.23,3.32,8.58,33,42.64,4,74,57,0
Jersey cross,6,41,9,5,1.49,15.96,3.41,8.46,38,41.97,3,63,54,1
Jersey cross,1,35,11,7,1.9,13.34,3.53,8.56,37,36.8,3,44,57,1
Jersey cross,2,28,14,7,1.1,13.27,3.69,8.57,31,41.99,5,52,60,0
Jersey cross,7,30,13,7,0.41,16.29,3.59,8.49,31,44.9,6,73,50,1
Jersey cross,5,45,11,11,0.94,17.21,3.55,8.54,28,36.8,2,26,69,2
Holstein Friesian Cross,1,26,5,4,1.81,13.44,3.33,8.5,36,41.69,5,40,68,1
Holstein Friesian Cross,3,28,12,4,1.19,13.72,3.21,8.49,35,43.31,6,57,50,1
Holstein Friesian Cross,1,32,14,5,1.37,14.75,3.35,8.65,29,35.35,6,34,58,0
Holstein Friesian Cross,3,28,5,11,1.1,15.64,3.38,8.52,32,43.32,2,26,70,2
Jersey cross,7,28,12,11,1.55,16.52,3.72,8.54,28,37.01,4,43,63,3
Jersey cross,5,36,12,12,1.01,15.28,3.7,8.49,34,35.17,4,31,66,3
Holstein Friesian Cross,7,31,13,9,1.62,17.98,3.42,8.45,36,43.9,5,61,50,0
Jersey cross,2,41,14,5,0.77,14.5,3.54,8.69,28,44.1,4,30,51,1
Jersey cross,1,25,11,8,0.61,12.04,3.78,8.55,36,41.31,3,72,68,2
Jersey cross,3,37,10,5,0.64,13.52,3.6,8.47,37,44.17,4,53,65,2
